trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.003, 'e': 0.8842636625608209}",20,0,-60.06504601235,"{0: 12, 1: 5, 2: 1, 3: 2, 4: 0}",0
43,False,"{'a': 0.003, 'e': 0.8816148467834161}",20,0,-68.52820657680454,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.003, 'e': 0.8789739655455832}",20,0,-90.0665746732753,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
45,False,"{'a': 0.003, 'e': 0.8763409950793732}",20,0,-99.87858081876924,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.003, 'e': 0.8737159116880344}",25,0,-129.25757418778446,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
47,False,"{'a': 0.003, 'e': 0.8710986917457983}",30,0,-209.88456563982496,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
48,False,"{'a': 0.003, 'e': 0.8684893116976679}",25,0,-219.93928557526652,"{0: 13, 1: 4, 2: 2, 3: 2, 4: 4}",0
49,False,"{'a': 0.003, 'e': 0.865887748059205}",25,0,-72.83797689076033,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.003, 'e': 0.8632939774163194}",20,4,-19.39241121004498,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
51,False,"{'a': 0.003, 'e': 0.8607079764250578}",25,0,-171.30290876425983,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
52,False,"{'a': 0.003, 'e': 0.8581297218113938}",30,0,-89.05405578754728,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
53,False,"{'a': 0.003, 'e': 0.8555591903710185}",30,0,-118.31593958081115,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.003, 'e': 0.8529963589691315}",25,0,-159.70825839463745,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
55,False,"{'a': 0.003, 'e': 0.850441204540233}",20,0,-42.275090410242534,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
56,False,"{'a': 0.003, 'e': 0.8478937040879159}",30,0,-110.7633675791555,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
57,False,"{'a': 0.003, 'e': 0.8453538346846587}",20,0,-142.55676264963205,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
58,False,"{'a': 0.003, 'e': 0.8428215734716199}",20,9,-30.606794029679165,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
59,False,"{'a': 0.003, 'e': 0.8402968976584314}",25,0,-59.75125326363248,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.003, 'e': 0.8377797845229938}",25,0,-122.15005965655152,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
61,False,"{'a': 0.003, 'e': 0.835270211411272}",20,0,-22.35133998932588,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.003, 'e': 0.832768155737091}",20,0,-89.50387440949713,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
63,False,"{'a': 0.003, 'e': 0.8302735949819326}",25,3,-135.59112140994483,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 2}",1
64,False,"{'a': 0.003, 'e': 0.8277865066947336}",20,0,-113.735407018869,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",1
65,False,"{'a': 0.003, 'e': 0.8253068684916823}",25,1,-35.20279122688237,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 0}",1
66,False,"{'a': 0.003, 'e': 0.8228346580560184}",20,0,-5.469614719855055,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.003, 'e': 0.8203698531378311}",25,7,-71.78433212376778,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
68,False,"{'a': 0.003, 'e': 0.8179124315538594}",20,4,-63.159314976067435,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
69,False,"{'a': 0.003, 'e': 0.8154623711872927}",20,0,-75.11081680030725,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.003, 'e': 0.813019649987571}",20,0,-116.93672142143491,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
71,False,"{'a': 0.003, 'e': 0.8105842459701871}",20,0,-56.80148263392218,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.003, 'e': 0.8081561372164884}",25,0,-137.12489724885634,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
73,False,"{'a': 0.003, 'e': 0.8057353018734796}",35,1,-125.72862133488992,"{0: 21, 1: 9, 2: 2, 3: 0, 4: 2}",1
74,False,"{'a': 0.003, 'e': 0.8033217181536265}",25,13,-16.490610852126395,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.003, 'e': 0.8009153643346592}",25,0,-76.41661198678987,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
76,False,"{'a': 0.003, 'e': 0.7985162187593771}",25,0,-96.0235204304563,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
77,False,"{'a': 0.003, 'e': 0.7961242598354538}",25,0,-175.98393547007743,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
78,False,"{'a': 0.003, 'e': 0.7937394660352427}",25,0,-212.50124556848252,"{0: 11, 1: 5, 2: 4, 3: 2, 4: 3}",0
79,False,"{'a': 0.003, 'e': 0.7913618158955839}",25,0,-98.42076924396727,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
80,False,"{'a': 0.003, 'e': 0.7889912880176096}",25,0,-22.519083328489614,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.003, 'e': 0.7866278610665535}",20,6,-87.84445495466497,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 2}",1
82,False,"{'a': 0.003, 'e': 0.7842715137715565}",20,0,-113.99791741139762,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
83,False,"{'a': 0.003, 'e': 0.7819222249254772}",30,17,-45.587725034443345,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.003, 'e': 0.7795799733847004}",20,0,-58.14808742429771,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
85,False,"{'a': 0.003, 'e': 0.7772447380689461}",20,0,-87.54996364675686,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
86,False,"{'a': 0.003, 'e': 0.774916497961081}",35,16,-16.415906324712644,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
87,False,"{'a': 0.003, 'e': 0.772595232106928}",25,0,-133.49744352293087,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
88,False,"{'a': 0.003, 'e': 0.7702809196150792}",25,0,-147.84452470467116,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
89,False,"{'a': 0.003, 'e': 0.7679735396567061}",25,0,-108.8204480854982,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
90,False,"{'a': 0.003, 'e': 0.7656730714653739}",25,0,-166.86582614033736,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
91,False,"{'a': 0.003, 'e': 0.7633794943368531}",30,0,-83.31895627376885,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
92,False,"{'a': 0.003, 'e': 0.7610927876289343}",20,0,-15.363813489309024,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.003, 'e': 0.7588129307612413}",20,0,-61.372865634996735,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
94,False,"{'a': 0.003, 'e': 0.7565399032150474}",20,0,-145.58953521677378,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
95,False,"{'a': 0.003, 'e': 0.754273684533089}",20,0,-25.808107681989313,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
96,False,"{'a': 0.003, 'e': 0.7520142543193826}",20,0,-124.52744188315451,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
97,False,"{'a': 0.003, 'e': 0.7497615922390413}",20,0,-99.0936958679063,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
98,False,"{'a': 0.003, 'e': 0.747515678018091}",30,0,-53.95805399252318,"{0: 24, 1: 4, 2: 0, 3: 1, 4: 1}",0
99,False,"{'a': 0.003, 'e': 0.7452764914432887}",25,1,-87.35543414099577,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 2}",1
100,False,"{'a': 0.003, 'e': 0.7430440123619398}",20,0,-65.0875355285714,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
101,False,"{'a': 0.003, 'e': 0.7408182206817179}",30,16,-6.542925856322814,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.003, 'e': 0.7385990963704826}",25,0,-88.28074385451977,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
103,False,"{'a': 0.003, 'e': 0.7363866194561001}",25,0,-157.6392572294735,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
104,False,"{'a': 0.003, 'e': 0.7341807700262634}",20,8,-38.081346009217704,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
105,False,"{'a': 0.003, 'e': 0.7319815282283126}",35,23,-1.3323118422199363,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.003, 'e': 0.7297888742690568}",20,0,-58.18461186901256,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
107,False,"{'a': 0.003, 'e': 0.7276027884145955}",20,0,-40.21095544981579,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
108,False,"{'a': 0.003, 'e': 0.7254232509901412}",30,12,-39.97357115751661,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 0}",1
109,False,"{'a': 0.003, 'e': 0.7232502423798424}",30,0,-133.6670756023767,"{0: 18, 1: 5, 2: 3, 3: 3, 4: 1}",0
110,False,"{'a': 0.003, 'e': 0.721083743026607}",25,0,-121.89926418271013,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
111,False,"{'a': 0.003, 'e': 0.7189237334319262}",25,0,-98.04520488332712,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
112,False,"{'a': 0.003, 'e': 0.716770194155699}",35,25,-21.66180942362047,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
113,False,"{'a': 0.003, 'e': 0.7146231058160573}",20,5,-161.5877701455402,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 4}",1
114,False,"{'a': 0.003, 'e': 0.7124824490891918}",25,2,-104.60918634294609,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 2}",1
115,False,"{'a': 0.003, 'e': 0.7103482047091773}",35,0,-139.06249047412746,"{0: 23, 1: 5, 2: 4, 3: 1, 4: 2}",0
116,False,"{'a': 0.003, 'e': 0.7082203534678}",20,12,-5.726473094875811,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.003, 'e': 0.7060988762143844}",20,0,-109.4210107017791,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
118,False,"{'a': 0.003, 'e': 0.7039837538556208}",30,0,-155.15259894178976,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
119,False,"{'a': 0.003, 'e': 0.701874967355394}",20,0,-53.318800797790765,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
120,False,"{'a': 0.003, 'e': 0.699772497734611}",25,0,-40.051133516345956,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
121,False,"{'a': 0.003, 'e': 0.697676326071031}",25,1,-99.39482309664517,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 1}",1
122,False,"{'a': 0.003, 'e': 0.6955864334990951}",20,6,-29.400792524683226,"{0: 9, 1: 4, 2: 0, 3: 1, 4: 0}",1
123,False,"{'a': 0.003, 'e': 0.6935028012097558}",20,0,-50.95860112497892,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
124,False,"{'a': 0.003, 'e': 0.6914254104503085}",20,14,-2.386880289199885,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.003, 'e': 0.6893542425242224}",25,0,-89.60489850699165,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
126,False,"{'a': 0.003, 'e': 0.6872892787909722}",25,0,-68.30064855914937,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
127,False,"{'a': 0.003, 'e': 0.6852305006658703}",25,0,-97.82729160399967,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
128,False,"{'a': 0.003, 'e': 0.6831778896198997}",25,0,-3.5362380395386177,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
129,False,"{'a': 0.003, 'e': 0.6811314271795471}",25,1,-53.02569771296577,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
130,False,"{'a': 0.003, 'e': 0.6790910949266368}",25,8,-57.13409651895586,"{0: 12, 1: 3, 2: 0, 3: 1, 4: 1}",1
131,False,"{'a': 0.003, 'e': 0.6770568744981647}",25,8,-4.569467095300368,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
132,False,"{'a': 0.003, 'e': 0.6750287475861332}",20,6,-63.50050441031861,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
133,False,"{'a': 0.003, 'e': 0.6730066959373864}",20,8,-36.434588327349914,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
134,False,"{'a': 0.003, 'e': 0.6709907013534459}",20,5,-20.68041647668856,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
135,False,"{'a': 0.003, 'e': 0.6689807456903467}",20,0,-43.32030367117973,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
136,False,"{'a': 0.003, 'e': 0.6669768108584744}",30,0,-91.0638059567374,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
137,False,"{'a': 0.003, 'e': 0.6649788788224019}",25,0,-67.98934008624138,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
138,False,"{'a': 0.003, 'e': 0.6629869316007274}",25,0,-54.86291359505746,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
139,False,"{'a': 0.003, 'e': 0.6610009512659124}",25,0,-49.446253059158956,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
140,False,"{'a': 0.003, 'e': 0.6590209199441207}",25,8,-17.119712395694354,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
141,False,"{'a': 0.003, 'e': 0.6570468198150567}",20,0,-69.17703607648919,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
142,False,"{'a': 0.003, 'e': 0.6550786331118063}",20,9,-13.447607017590737,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.003, 'e': 0.6531163421206756}",20,2,-40.94123518685046,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 0}",1
144,False,"{'a': 0.003, 'e': 0.6511599291810325}",20,0,-45.44968228818393,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
145,False,"{'a': 0.003, 'e': 0.6492093766851474}",20,0,-93.88480591585956,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
146,False,"{'a': 0.003, 'e': 0.6472646670780347}",20,0,-89.01856075072318,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",1
147,False,"{'a': 0.003, 'e': 0.6453257828572946}",25,0,-147.15050761131857,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
148,False,"{'a': 0.003, 'e': 0.6433927065729562}",30,15,-62.04163179275499,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 0}",1
149,False,"{'a': 0.003, 'e': 0.6414654208273198}",20,0,-61.752597946145315,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
150,False,"{'a': 0.003, 'e': 0.6395439082748009}",20,0,-119.31819197287554,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
151,False,"{'a': 0.003, 'e': 0.6376281516217733}",20,0,-9.83859195042426,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
152,False,"{'a': 0.003, 'e': 0.6357181336264143}",30,1,-55.93046699330496,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 1}",1
153,False,"{'a': 0.003, 'e': 0.633813837098549}",30,0,-152.92761911295318,"{0: 18, 1: 1, 2: 7, 3: 3, 4: 1}",0
154,False,"{'a': 0.003, 'e': 0.6319152448994959}",20,0,-122.7723147558175,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 3}",0
155,False,"{'a': 0.003, 'e': 0.6300223399419123}",25,14,3.0573220122345686,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.003, 'e': 0.6281351051896408}",20,2,3.2615784443074194,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.003, 'e': 0.6262535236575559}",25,0,-87.2197775890376,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
158,False,"{'a': 0.003, 'e': 0.6243775784114112}",30,0,-22.085240689888785,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
159,False,"{'a': 0.003, 'e': 0.6225072525676867}",25,12,-27.17011546937895,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.003, 'e': 0.6206425292934373}",20,0,-38.77452295360239,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
